"Geographic code","Geographic name, english","Geographic name, french","Province / territory, english","Province / territory, french","Geographic code, Province / territory","Population, 2016","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2011","2011 adjusted population flag","Population, % change","Total private dwellings, 2016","Total private dwellings, 2011","2011 adjusted total private dwellings flag","Total private dwellings, % change","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents, 2011","2011 adjusted private dwellings occupied by usual residents flag","Private dwellings occupied by usual residents, % change","Land area in square kilometres, 2016","Population density per square kilometre, 2016",
"47013","Souris--Moose Mountain","Souris--Moose Mountain","Saskatchewan","Saskatchewan",47,72635,F,72058,F,0.8,34896,33000,F,5.7,29615,29085,F,1.8,42348.52,1.7,
"47014","Yorkton--Melville","Yorkton--Melville","Saskatchewan","Saskatchewan",47,71031,F,71270,F,-0.3,37646,37264,F,1.0,30739,30732,F,0.0,42537.47,1.7,
"48001","Banff--Airdrie","Banff--Airdrie","Alberta","Alberta",48,135762,F,105442,F,28.8,52453,42054,F,24.7,48064,37275,F,28.9,12358.29,11.0,
"48002","Battle River--Crowfoot","Battle River--Crowfoot","Alberta","Alberta",48,110223,F,107140,F,2.9,47750,45852,F,4.1,43129,41676,F,3.5,51977.75,2.1,
"48003","Bow River","Bow River","Alberta","Alberta",48,115022,F,103871,F,10.7,41278,38656,F,6.8,38486,35237,F,9.2,24036.47,4.8,
"48004","Calgary Centre","Calgary-Centre","Alberta","Alberta",48,119176,F,108931,F,9.4,70457,64738,F,8.8,62078,58458,F,6.2,49.20,2422.4,
"48005","Calgary Confederation","Calgary Confederation","Alberta","Alberta",48,122023,F,111785,F,9.2,58507,55984,F,4.5,54364,51493,F,5.6,54.38,2244.1,
"48006","Calgary Forest Lawn","Calgary Forest Lawn","Alberta","Alberta",48,111830,F,108183,T,3.4,41364,40368,T,2.5,38784,38081,T,1.8,53.02,2109.3,
"48007","Calgary Heritage","Calgary Heritage","Alberta","Alberta",48,112087,F,108320,F,3.5,44037,43735,T,0.7,43012,42271,T,1.8,66.93,1674.8,
"48008","Calgary Midnapore","Calgary Midnapore","Alberta","Alberta",48,121844,F,111227,F,9.5,45894,42408,F,8.2,44792,41229,F,8.6,83.72,1455.4,
"48009","Calgary Nose Hill","Calgary Nose Hill","Alberta","Alberta",48,115795,F,109286,F,6.0,41103,39601,F,3.8,40387,38541,F,4.8,57.99,1996.7,
"48010","Calgary Rocky Ridge","Calgary Rocky Ridge","Alberta","Alberta",48,131823,F,108901,F,21.0,45765,38443,F,19.0,44797,37650,F,19.0,91.17,1446.0,
"48011","Calgary Shepard","Calgary Shepard","Alberta","Alberta",48,147520,F,110364,T,33.7,54774,41621,T,31.6,53324,40205,T,32.6,180.70,816.4,
"48012","Calgary Signal Hill","Calgary Signal Hill","Alberta","Alberta",48,121392,F,109647,F,10.7,47206,44328,F,6.5,45972,42435,F,8.3,65.91,1841.8,
"48013","Calgary Skyview","Calgary Skyview","Alberta","Alberta",48,135730,F,110189,F,23.2,40543,34622,F,17.1,39215,33054,F,18.6,122.56,1107.4,
"48014","Edmonton Centre","Edmonton-Centre","Alberta","Alberta",48,109941,F,106121,F,3.6,60382,59850,F,0.9,53918,53728,F,0.4,45.39,2421.9,
"48015","Edmonton Griesbach","Edmonton Griesbach","Alberta","Alberta",48,112287,F,107809,F,4.2,49442,48498,F,1.9,45145,44201,F,2.1,45.97,2442.7,
"48016","Edmonton Manning","Edmonton Manning","Alberta","Alberta",48,121048,F,106208,T,14.0,45519,39796,T,14.4,43053,38097,T,13.0,157.73,767.4,
"48017","Edmonton Mill Woods","Edmonton Mill Woods","Alberta","Alberta",48,118561,F,106103,F,11.7,40356,37243,F,8.4,39049,35507,F,10.0,51.42,2305.9,
"48018","Edmonton Riverbend","Edmonton Riverbend","Alberta","Alberta",48,120863,F,106302,F,13.7,47270,41670,F,13.4,44950,39801,F,12.9,61.50,1965.3,
"48019","Edmonton Strathcona","Edmonton Strathcona","Alberta","Alberta",48,106066,F,103183,F,2.8,53363,53408,F,-0.1,47968,48179,F,-0.4,81.82,1296.3,
"48020","Edmonton West","Edmonton-Ouest","Alberta","Alberta",48,121869,F,104422,F,16.7,47066,41579,F,13.2,44882,39790,F,12.8,104.72,1163.8,
"48021","Edmonton--Wetaskiwin","Edmonton--Wetaskiwin","Alberta","Alberta",48,158749,F,110644,F,43.5,64260,45315,F,41.8,57322,40950,F,40.0,4842.44,32.8,
"48022","Foothills","Foothills","Alberta","Alberta",48,113227,F,105515,F,7.3,44928,42428,T,5.9,41318,38885,T,6.3,20865.99,5.4,
"48023","Fort McMurray--Cold Lake","Fort McMurray--Cold Lake","Alberta","Alberta",48,110230,F,101538,F,8.6,47551,42858,F,11.0,39417,35710,F,10.4,144436.18,0.8,
"48024","Grande Prairie--Mackenzie","Grande Prairie--Mackenzie","Alberta","Alberta",48,117327,F,106738,F,9.9,47676,43012,F,10.8,42675,39563,F,7.9,112885.43,1.0,
"48025","Lakeland","Lakeland","Alberta","Alberta",48,108451,T,104616,F,3.7,50340,45787,F,9.9,41285,39878,F,3.5,31324.35,3.5,
"48026","Lethbridge","Lethbridge","Alberta","Alberta",48,117394,F,105999,F,10.8,48317,45251,F,6.8,45696,41555,F,10.0,2975.08,39.5,
"48027","Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner","Alberta","Alberta",48,106896,F,102847,F,3.9,43243,42029,F,2.9,40125,38586,F,4.0,29559.04,3.6,
"48028","Peace River--Westlock","Peace River--Westlock","Alberta","Alberta",48,109965,F,108095,F,1.7,45145,42842,F,5.4,39070,38155,F,2.4,107085.59,1.0,
"48029","Red Deer--Mountain View","Red Deer--Mountain View","Alberta","Alberta",48,119019,F,110793,F,7.4,50728,47362,F,7.1,46577,43274,F,7.6,7696.45,15.5,
"48030","Red Deer--Lacombe","Red Deer--Lacombe","Alberta","Alberta",48,128786,F,113693,F,13.3,53842,47985,F,12.2,48425,42796,F,13.2,6217.91,20.7,
"48031","St. Albert--Edmonton","St. Albert--Edmonton","Alberta","Alberta",48,121313,F,105216,T,15.3,44135,38818,T,13.7,42948,37897,T,13.3,105.71,1147.6,
"48032","Sherwood Park--Fort Saskatchewan","Sherwood Park--Fort Saskatchewan","Alberta","Alberta",48,122193,F,111541,F,9.5,46293,42245,F,9.6,44828,40462,F,10.8,1230.95,99.3,
"48033","Sturgeon River--Parkland","Sturgeon River--Parkland","Alberta","Alberta",48,120784,F,105733,F,14.2,46387,40589,T,14.3,43471,37820,F,14.9,3982.27,30.3,
"48034","Yellowhead","Yellowhead","Alberta","Alberta",48,101979,F,98855,F,3.2,46755,44032,T,6.2,39152,37836,F,3.5,77376.44,1.3,
"59001","Abbotsford","Abbotsford","British Columbia","Colombie-Britannique",59,101814,F,97076,T,4.9,39859,38733,T,2.9,37878,36062,T,5.0,175.34,580.7,
